JD, RVoff
2452536.663124336, -1.1941964285714288
2452543.039319873, -1.5625000000000018
2452547.821466525, -1.7633928571428577
2452562.1679064827, -2.0982142857142865
2452570.1381509034, -2.5334821428571423
2452573.326248672, -2.868303571428573
2452574.920297556, -3.203125
2452676.9394261427, -4.4419642857142865
2452691.2858661003, -4.408482142857142
2452713.6025504787, -4.006696428571429
2452718.384697131, -3.203125
2452743.8894792777, 0.5803571428571406
2452900.106269926, 1.484375
2452919.2348565357, 0.6808035714285712
2452957.492029756, 0.9821428571428559
2452976.6206163657, 2.0200892857142847
2453000.531349628, 1.5513392857142847
2453062.699256111, -1.5290178571428577
2453104.144527099, -1.2946428571428594
2453274.707757705, 1.5513392857142847
2453284.27205101, 1.0156249999999982
2453325.717321998, -1.1941964285714288
2453403.825717322, -2.165178571428571
2453442.082890542, -2.4665178571428577
2453478.746014878, -2.6674107142857153
2453636.5568544106, -0.390625
2453749.7343251863, -4.140625
2453762.4867162597, -4.709821428571429
2453802.3379383637, -6.986607142857142
2453823.0605738577, -6.350446428571427
2453835.812964931, -5.513392857142858
2453846.9713071203, -4.776785714285715
2454038.25717322, 0.24553571428571352
2454062.1679064827, 0.6138392857142847
2454095.64293305, 0.8482142857142847
2454106.8012752393, 0.647321428571427
2454180.1275239107, -4.508928571428573
2454192.879914984, -4.977678571428571
2454216.7906482466, -5.078125
2454227.948990436, -4.508928571428573
